,Company Name,Ratings,Description,Comparison,Reviews,Salary,Interviews,Jobs,Benefits
101,Udaan,3.9,Internet | Bangalore / Bengaluru +371 other locations,"Highly Rated For Salary & Benefits, Work Life Balance, Skill Development / Learning  Critically Rated For Job Security, Promotions / Appraisal",5.8k Reviews,15.7k Salaries,367 Interviews,1 Jobs,755 Benefits
102,Indiamart Intermesh,3.5,Internet | Noida +171 other locations,"Critically Rated For Work Satisfaction, Promotions / Appraisal, Company Culture",5.8k Reviews,20.2k Salaries,736 Interviews,443 Jobs,432 Benefits
103,SMFG India Credit,3.9,NBFC | Mumbai +590 other locations,Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal,5.7k Reviews,10.5k Salaries,199 Interviews,81 Jobs,347 Benefits
104,Aurobindo Pharma,4.0,Pharma | Hyderabad / Secunderabad +115 other locations,"Highly Rated For Job Security, Salary & Benefits, Work Life Balance",5.7k Reviews,20.9k Salaries,285 Interviews,20 Jobs,468 Benefits
105,CGI Group,4.0,IT Services & Consulting | Bangalore / Bengaluru +43 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",5.7k Reviews,46.8k Salaries,558 Interviews,710 Jobs,398 Benefits
106,BigBasket,3.9,Internet | Bangalore / Bengaluru +139 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,5.6k Reviews,19k Salaries,459 Interviews,95 Jobs,380 Benefits
107,Siemens,3.9,Industrial Automation | Bangalore / Bengaluru +153 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",5.6k Reviews,33.5k Salaries,497 Interviews,172 Jobs,632 Benefits
108,Manappuram Finance,3.9,NBFC | Bangalore / Bengaluru +645 other locations,"Highly Rated For Work Life Balance, Promotions / Appraisal, Skill Development / Learning",5.6k Reviews,9k Salaries,216 Interviews,15 Jobs,260 Benefits
109,Access Healthcare,3.7,BPO | Chennai +63 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Skill Development / Learning",5.6k Reviews,28.2k Salaries,375 Interviews,358 Jobs,347 Benefits
110,Shapoorji Pallonji Group,4.1,Engineering & Construction | Mumbai +188 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",5.6k Reviews,15.2k Salaries,410 Interviews,67 Jobs,632 Benefits
111,Firstsource Solutions,3.5,BPO | Bangalore / Bengaluru +73 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.6k Reviews,24.1k Salaries,353 Interviews,171 Jobs,570 Benefits
112,GlobalLogic,3.5,IT Services & Consulting | Hyderabad / Secunderabad +60 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.6k Reviews,40.4k Salaries,675 Interviews,38 Jobs,515 Benefits
113,ICICI Lombard General Insurance Company,3.5,Insurance | Mumbai +311 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",5.6k Reviews,20k Salaries,349 Interviews,153 Jobs,366 Benefits
114,Tata Capital,4.0,NBFC | Mumbai +435 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",5.6k Reviews,15.4k Salaries,260 Interviews,3.4k Jobs,258 Benefits
115,Standard Chartered,3.6,Banking | Chennai +68 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",5.6k Reviews,42k Salaries,316 Interviews,-- Jobs,305 Benefits
